SampleName	Group	CellLine	Diff	Days
Ctrl10_NCC	Ctrl	Ctrl10	NCC	0
Ctrl10_SAP	Ctrl	Ctrl10	SAP	4
Ctrl10_D6	Ctrl	Ctrl10	D6	6
Ctrl10_D8	Ctrl	Ctrl10	D8	8
Ctrl10_D10	Ctrl	Ctrl10	D10	10
Ctrl10_D12	Ctrl	Ctrl10	D12	12
Ctrl14_NCC	Ctrl	Ctrl14	NCC	0
Ctrl14_SAP	Ctrl	Ctrl14	SAP	4
Ctrl14_D6	Ctrl	Ctrl14	D6	6
Ctrl14_D8	Ctrl	Ctrl14	D8	8
Ctrl14_D10	Ctrl	Ctrl14	D10	10
Ctrl14_D12	Ctrl	Ctrl14	D12	12
NB4_NCC	NB	NB4	NCC	0
NB4_SAP	NB	NB4	SAP	4
NB4_D6	NB	NB4	D6	6
NB4_D8	NB	NB4	D8	8
NB4_D10	NB	NB4	D10	10
NB4_D12	NB	NB4	D12	12
NB2_NCC	NB	NB2	NCC	0
NB2_SAP	NB	NB2	SAP	4
NB2_D6	NB	NB2	D6	6
NB2_D8	NB	NB2	D8	8
NB2_D10	NB	NB2	D10	10
NB2_D12	NB	NB2	D12	12
Ctrl7_NCC	Ctrl	Ctrl7	NCC	0
Ctrl7_SAP	Ctrl	Ctrl7	SAP	4
Ctrl7_D6	Ctrl	Ctrl7	D6	6
Ctrl7_D8	Ctrl	Ctrl7	D8	8
Ctrl7_D10	Ctrl	Ctrl7	D10	10
Ctrl7_D12	Ctrl	Ctrl7	D12	12
NB1_NCC	NB	NB1	NCC	0
NB1_SAP	NB	NB1	SAP	4
NB1_D6	NB	NB1	D6	6
NB1_D8	NB	NB1	D8	8
NB1_D10	NB	NB1	D10	10
NB1_D12	NB	NB1	D12	12
